îNìx,èâîCããäz
1976,87.6 
1977,95.3 
1978,99.9 
1979,103.7 
1980,108.7 
1981,115.0 
1982,119.1 
1983,124.1 
1984,128.7 
1985,133.5 
1986,138.4 
1987,142.7 
1988,149.0 
1989,155.6 
1990,162.9 
1991,172.3 
1992,180.1 
1993,181.9 
1994,184.5 
1995,184.0 
1996,183.6 
1997,186.2 
1998,186.3 
1999,188.7 
2000,187.4 
2001,188.6 
2002,188.8 
2003,192.5 
2004,189.5 
2005,189.3 
2006,190.8 
2007,191.4 
2008,194.6 
2009,194.9 
2010,193.5 
2011,197.9 
2012,196.5 
