îN,êiäwó¶,èAêEó¶
,,
1990,30.6,81
1991,31.7,81.3
1992,32.7,79.9
1993,34.5,76.2
1994,36.1,70.5
1995,37.6,67.1
1996,39.0,65.9
1997,40.7,66.6
1998,42.5,65.6
1999,44.2,60.1
2000,45.1,55.8
2001,45.1,57.3
2002,44.9,56.9
2003,44.6,55.1
2004,45.3,55.8
2005,47.3,59.7
2006,49.4,63.7
2007,51.2,67.6
2008,52.9,69.9
2009,53.9,68.4
2010,54.3,60.8
2011,53.9,61.6
2012,53.6,63.9
2013,53.2,67.3
2014,53.9,69.8
