îN,ëçê∂éY
1994,446779.9
1995,455457.9
1996,467345.6
1997,474802.7
1998,465291.7
1999,464364.2
2000,474847.2
2001,476535.1
2002,477914.9
2003,485968.3
2004,497440.7
2005,503921
2006,512451.9
2007,523685.8
2008,518230.9
2009,489588.4
2010,512364.2
2011,510044.6
2012,518989.2
2013,527362
2014,527227.4
