,東京駅,上野駅,池袋駅,新宿駅,渋谷駅,品川駅
東京駅,0,3.56,7.31,6.12,6.39,6.37
上野駅,3.56,0,6.23,7.34,9.05,9.91
池袋駅,7.31,6.23,0,4.36,7.9,11.43
新宿駅,6.12,7.34,4.36,0,3.61,7.75
渋谷駅,6.39,9.05,7.9,3.61,0,4.7
品川駅,6.37,9.91,11.43,7.75,4.7,0
