d_ij,弘前城,名古屋城,大阪城,白鷺城,熊本城
弘前城,0,678.561,788.376,817.281,1227.166
名古屋城,678.561,0,136.941,204.974,629.981
大阪城,788.376,136.941,0,78.562,492.898
白鷺城,817.281,204.974,78.562,0,432.574
熊本城,1227.166,629.981,492.898,432.574,0
